"","p","n","optRho","variable","FPR","MCE","TPR","Estimated_E","method"
"98",20,1000,0.0415,"V52",0.116279069767442,0.115789473684211,0.888888888888889,"E_3","loglikhood"
"99",20,1000,0.0415,"V53",0.191860465116279,0.178947368421053,0.944444444444444,"E_3","loglikhood"
"100",20,1000,0.0415,"V54",0.179190751445087,0.168421052631579,0.941176470588235,"E_3","loglikhood"
"101",20,10000,0.0115,"V5",0.236686390532544,0.210526315789474,1,"E_3","loglikhood"
"102",20,10000,0.0115,"V6",0.248520710059172,0.221052631578947,1,"E_3","loglikhood"
"103",20,10000,0.0115,"V7",0.248520710059172,0.221052631578947,1,"E_3","loglikhood"
"104",20,10000,0.0115,"V8",0.277456647398844,0.252631578947368,1,"E_3","loglikhood"
"105",20,10000,0.0115,"V9",0.284883720930233,0.257894736842105,1,"E_3","loglikhood"
"106",20,10000,0.0115,"V10",0.23121387283237,0.210526315789474,1,"E_3","loglikhood"
"107",20,10000,0.0115,"V11",0.264367816091954,0.242105263157895,1,"E_3","loglikhood"
"108",20,10000,0.0115,"V12",0.25,0.226315789473684,1,"E_3","loglikhood"
"109",20,10000,0.0115,"V13",0.280701754385965,0.252631578947368,1,"E_3","loglikhood"
"110",20,10000,0.0115,"V14",0.311764705882353,0.278947368421053,1,"E_3","loglikhood"
"111",20,10000,0.0115,"V15",0.265895953757225,0.242105263157895,1,"E_3","loglikhood"
"112",20,10000,0.0115,"V16",0.210526315789474,0.189473684210526,1,"E_3","loglikhood"
"113",20,10000,0.0115,"V17",0.272151898734177,0.226315789473684,1,"E_3","loglikhood"
"114",20,10000,0.0115,"V18",0.216867469879518,0.189473684210526,1,"E_3","loglikhood"
"115",20,10000,0.0115,"V19",0.305882352941176,0.273684210526316,1,"E_3","loglikhood"
"116",20,10000,0.0115,"V20",0.293413173652695,0.257894736842105,1,"E_3","loglikhood"
"117",20,10000,0.0115,"V21",0.224137931034483,0.205263157894737,1,"E_3","loglikhood"
"118",20,10000,0.0115,"V22",0.298850574712644,0.273684210526316,1,"E_3","loglikhood"
"119",20,10000,0.0115,"V23",0.254237288135593,0.236842105263158,1,"E_3","loglikhood"
"120",20,10000,0.0115,"V24",0.282208588957055,0.242105263157895,1,"E_3","loglikhood"
"121",20,10000,0.0115,"V25",0.293413173652695,0.257894736842105,1,"E_3","loglikhood"
"122",20,10000,0.0115,"V26",0.235955056179775,0.221052631578947,1,"E_3","loglikhood"
"123",20,10000,0.0115,"V27",0.223529411764706,0.2,1,"E_3","loglikhood"
"124",20,10000,0.0115,"V28",0.201149425287356,0.184210526315789,1,"E_3","loglikhood"
"125",20,10000,0.0115,"V29",0.233532934131737,0.205263157894737,1,"E_3","loglikhood"
"126",20,10000,0.0115,"V30",0.235632183908046,0.215789473684211,1,"E_3","loglikhood"
"127",20,10000,0.0115,"V31",0.238095238095238,0.210526315789474,1,"E_3","loglikhood"
"128",20,10000,0.0115,"V32",0.205714285714286,0.189473684210526,1,"E_3","loglikhood"
"129",20,10000,0.0115,"V33",0.293785310734463,0.273684210526316,1,"E_3","loglikhood"
"130",20,10000,0.0115,"V34",0.238095238095238,0.210526315789474,1,"E_3","loglikhood"
"131",20,10000,0.0115,"V35",0.308571428571429,0.284210526315789,1,"E_3","loglikhood"
"132",20,10000,0.0115,"V36",0.31547619047619,0.278947368421053,1,"E_3","loglikhood"
"133",20,10000,0.0115,"V37",0.294117647058824,0.263157894736842,1,"E_3","loglikhood"
"134",20,10000,0.0115,"V38",0.25,0.221052631578947,1,"E_3","loglikhood"
"135",20,10000,0.0115,"V39",0.352201257861635,0.294736842105263,1,"E_3","loglikhood"
"136",20,10000,0.0115,"V40",0.215116279069767,0.194736842105263,1,"E_3","loglikhood"
"137",20,10000,0.0115,"V41",0.312138728323699,0.284210526315789,1,"E_3","loglikhood"
"138",20,10000,0.0115,"V42",0.255813953488372,0.231578947368421,1,"E_3","loglikhood"
"139",20,10000,0.0115,"V43",0.245714285714286,0.226315789473684,1,"E_3","loglikhood"
"140",20,10000,0.0115,"V44",0.18452380952381,0.163157894736842,1,"E_3","loglikhood"
"141",20,10000,0.0115,"V45",0.279761904761905,0.247368421052632,1,"E_3","loglikhood"
"142",20,10000,0.0115,"V46",0.37125748502994,0.326315789473684,1,"E_3","loglikhood"
"143",20,10000,0.0115,"V47",0.227544910179641,0.2,1,"E_3","loglikhood"
"144",20,10000,0.0115,"V48",0.293413173652695,0.257894736842105,1,"E_3","loglikhood"
"145",20,10000,0.0115,"V49",0.284883720930233,0.257894736842105,1,"E_3","loglikhood"
"146",20,10000,0.0115,"V50",0.241176470588235,0.215789473684211,1,"E_3","loglikhood"
"147",20,10000,0.0115,"V51",0.222857142857143,0.205263157894737,1,"E_3","loglikhood"
"148",20,10000,0.0115,"V52",0.313609467455621,0.278947368421053,1,"E_3","loglikhood"
"149",20,10000,0.0115,"V53",0.239766081871345,0.215789473684211,1,"E_3","loglikhood"
