"","TPR","FPR","method","Estimated_E","p","n"
"153",1,0.132343011478731,"rmse","E_2",100,10000
"154",1,0.141065830721003,"rmse","E_2",100,10000
"155",1,0.129459277540947,"rmse","E_2",100,10000
"156",1,0.136019590382903,"rmse","E_2",100,10000
"157",1,0.144148215092634,"rmse","E_2",100,10000
"158",1,0.101118568232662,"rmse","E_2",100,10000
"159",1,0.136088030541208,"rmse","E_2",100,10000
"160",1,0.108895361864217,"rmse","E_2",100,10000
"161",1,0.137073060393576,"rmse","E_2",100,10000
"162",1,0.158060879368658,"rmse","E_2",100,10000
"163",1,0.140547822182308,"rmse","E_2",100,10000
"164",1,0.135001126887537,"rmse","E_2",100,10000
"165",1,0.128423888639425,"rmse","E_2",100,10000
"166",1,0.138720538720539,"rmse","E_2",100,10000
"167",1,0.115203233774983,"rmse","E_2",100,10000
"168",1,0.125977216886308,"rmse","E_2",100,10000
"169",1,0.120376597175521,"rmse","E_2",100,10000
"170",1,0.157646530428924,"rmse","E_2",100,10000
"171",1,0.140291806958474,"rmse","E_2",100,10000
"172",1,0.1275407639044,"rmse","E_2",100,10000
"173",1,0.131679819616685,"rmse","E_2",100,10000
"174",1,0.149260421335724,"rmse","E_2",100,10000
"175",1,0.133139404788543,"rmse","E_2",100,10000
"176",1,0.140072529465095,"rmse","E_2",100,10000
"177",1,0.153688056633935,"rmse","E_2",100,10000
"178",1,0.132685352622061,"rmse","E_2",100,10000
"179",1,0.124277456647399,"rmse","E_2",100,10000
"180",1,0.123937360178971,"rmse","E_2",100,10000
"181",1,0.128125,"rmse","E_2",100,10000
"182",1,0.148700564971751,"rmse","E_2",100,10000
"183",1,0.111160515784793,"rmse","E_2",100,10000
"184",1,0.160538116591928,"rmse","E_2",100,10000
"185",1,0.120026525198939,"rmse","E_2",100,10000
"186",1,0.140670717983345,"rmse","E_2",100,10000
"187",1,0.152790279027903,"rmse","E_2",100,10000
"188",1,0.109469442578912,"rmse","E_2",100,10000
"189",1,0.151569107500556,"rmse","E_2",100,10000
"190",1,0.133003819366435,"rmse","E_2",100,10000
"191",1,0.131228861330327,"rmse","E_2",100,10000
"192",1,0.152896273013022,"rmse","E_2",100,10000
"193",1,0.118765376873183,"rmse","E_2",100,10000
"194",1,0.143081408387531,"rmse","E_2",100,10000
"195",1,0.124859896884107,"rmse","E_2",100,10000
"196",1,0.130755476084041,"rmse","E_2",100,10000
"197",1,0.147607279263087,"rmse","E_2",100,10000
"198",1,0.15122830741492,"rmse","E_2",100,10000
"199",1,0.14583800762845,"rmse","E_2",100,10000
"200",1,0.140013419816596,"rmse","E_2",100,10000
"201",1,0.174301675977654,"cv_min","E_2",100,10000
"202",1,0.178683385579937,"cv_min","E_2",100,10000
"203",1,0.178708080126041,"cv_min","E_2",100,10000
"204",1,0.17756381549485,"cv_min","E_2",100,10000
"205",1,0.176127439982051,"cv_min","E_2",100,10000
"206",1,0.178762243989314,"cv_min","E_2",100,10000
"207",1,0.190239493899684,"cv_min","E_2",100,10000
"208",1,0.179642058165548,"cv_min","E_2",100,10000
"209",1,0.192005389624972,"cv_min","E_2",100,10000
"210",1,0.175442527447905,"cv_min","E_2",100,10000
"211",1,0.181180728342004,"cv_min","E_2",100,10000
"212",1,0.204509582863585,"cv_min","E_2",100,10000
"213",1,0.195105523125281,"cv_min","E_2",100,10000
"214",1,0.189317106152806,"cv_min","E_2",100,10000
"215",1,0.177144140098788,"cv_min","E_2",100,10000
"216",1,0.17979797979798,"cv_min","E_2",100,10000
"217",1,0.177857624073658,"cv_min","E_2",100,10000
"218",1,0.169756533392897,"cv_min","E_2",100,10000
"219",1,0.176866173503699,"cv_min","E_2",100,10000
"220",1,0.212216483269706,"cv_min","E_2",100,10000
"221",1,0.2,"cv_min","E_2",100,10000
"222",1,0.191422827786464,"cv_min","E_2",100,10000
"223",1,0.192108229988726,"cv_min","E_2",100,10000
"224",1,0.18691169878978,"cv_min","E_2",100,10000
"225",1,0.18348623853211,"cv_min","E_2",100,10000
"226",1,0.199229374433364,"cv_min","E_2",100,10000
"227",1,0.192738068052067,"cv_min","E_2",100,10000
"228",1,0.198915009041591,"cv_min","E_2",100,10000
"229",1,0.18297020898177,"cv_min","E_2",100,10000
"230",1,0.164653243847875,"cv_min","E_2",100,10000
"231",1,0.178125,"cv_min","E_2",100,10000
"232",1,0.19728813559322,"cv_min","E_2",100,10000
"233",1,0.162961316140507,"cv_min","E_2",100,10000
"234",1,0.202466367713004,"cv_min","E_2",100,10000
"235",1,0.166887709991158,"cv_min","E_2",100,10000
"236",1,0.199414809813189,"cv_min","E_2",100,10000
"237",1,0.198919891989199,"cv_min","E_2",100,10000
"238",1,0.179091112603537,"cv_min","E_2",100,10000
"239",1,0.17338081460049,"cv_min","E_2",100,10000
"240",1,0.178611547966749,"cv_min","E_2",100,10000
"241",1,0.182412626832018,"cv_min","E_2",100,10000
"242",1,0.205433318365514,"cv_min","E_2",100,10000
"243",1,0.166853053008276,"cv_min","E_2",100,10000
"244",1,0.188831576586679,"cv_min","E_2",100,10000
"245",1,0.164312934319659,"cv_min","E_2",100,10000
"246",1,0.188869021010282,"cv_min","E_2",100,10000
"247",1,0.212087171422152,"cv_min","E_2",100,10000
"248",1,0.194275411313951,"cv_min","E_2",100,10000
"249",1,0.176800538478797,"cv_min","E_2",100,10000
"250",1,0.190114068441065,"cv_min","E_2",100,10000
"251",1,0.000223463687150838,"cv1se","E_2",100,10000
"252",1,0.000223914017017465,"cv1se","E_2",100,10000
"253",1,0,"cv1se","E_2",100,10000
"254",1,0,"cv1se","E_2",100,10000
"255",1,0,"cv1se","E_2",100,10000
"256",1,0,"cv1se","E_2",100,10000
"257",1,0.000225937641211026,"cv1se","E_2",100,10000
"258",1,0.000223713646532438,"cv1se","E_2",100,10000
"259",1,0,"cv1se","E_2",100,10000
"260",1,0,"cv1se","E_2",100,10000
"261",1,0.000678579506898892,"cv1se","E_2",100,10000
"262",1,0,"cv1se","E_2",100,10000
"263",1,0.000224517287831163,"cv1se","E_2",100,10000
"264",1,0.000225377507324769,"cv1se","E_2",100,10000
"265",1,0,"cv1se","E_2",100,10000
"266",1,0.000224466891133558,"cv1se","E_2",100,10000
"267",1,0,"cv1se","E_2",100,10000
"268",1,0,"cv1se","E_2",100,10000
"269",1,0.000224164985429276,"cv1se","E_2",100,10000
"270",1,0.00022456770716371,"cv1se","E_2",100,10000
"271",1,0.000448933782267116,"cv1se","E_2",100,10000
"272",1,0.000223363859727496,"cv1se","E_2",100,10000
"273",1,0,"cv1se","E_2",100,10000
"274",1,0,"cv1se","E_2",100,10000
"275",1,0,"cv1se","E_2",100,10000
"276",1,0.000226654578422484,"cv1se","E_2",100,10000
"277",1,0.00114181319936058,"cv1se","E_2",100,10000
"278",1,0,"cv1se","E_2",100,10000
"279",1,0,"cv1se","E_2",100,10000
"280",1,0,"cv1se","E_2",100,10000
"281",1,0,"cv1se","E_2",100,10000
"282",1,0.000225988700564972,"cv1se","E_2",100,10000
"283",1,0.000222321031569586,"cv1se","E_2",100,10000
"284",1,0,"cv1se","E_2",100,10000
"285",1,0,"cv1se","E_2",100,10000
"286",1,0,"cv1se","E_2",100,10000
"287",1,0.000225022502250225,"cv1se","E_2",100,10000
"288",1,0,"cv1se","E_2",100,10000
"289",1,0,"cv1se","E_2",100,10000
"290",1,0,"cv1se","E_2",100,10000
"291",1,0,"cv1se","E_2",100,10000
"292",1,0,"cv1se","E_2",100,10000
"293",1,0.000447327219861329,"cv1se","E_2",100,10000
"294",1,0,"cv1se","E_2",100,10000
"295",1,0.000224164985429276,"cv1se","E_2",100,10000
"296",1,0,"cv1se","E_2",100,10000
"297",1,0,"cv1se","E_2",100,10000
"298",1,0.000225377507324769,"cv1se","E_2",100,10000
"299",1,0.00022436616558223,"cv1se","E_2",100,10000
"300",1,0,"cv1se","E_2",100,10000
"301",0.854870775347913,0.10793793568698,"rmse","E_1",100,1000
"302",0.884696016771488,0.107757657053432,"rmse","E_1",100,1000
"303",0.88468809073724,0.151097036869487,"rmse","E_1",100,1000
"304",0.888671875,0.129562866155926,"rmse","E_1",100,1000
"305",0.873345935727788,0.117168061524542,"rmse","E_1",100,1000
"306",0.861932938856016,0.133018230925051,"rmse","E_1",100,1000
"307",0.812244897959184,0.0688340807174888,"rmse","E_1",100,1000
"308",0.887619047619048,0.130169491525424,"rmse","E_1",100,1000
"309",0.793926247288503,0.0712853642236578,"rmse","E_1",100,1000
"310",0.858316221765914,0.10531032937486,"rmse","E_1",100,1000
"311",0.837160751565762,0.107358532766719,"rmse","E_1",100,1000
"312",0.854,0.0793258426966292,"rmse","E_1",100,1000
"313",0.850098619329389,0.0981318928651812,"rmse","E_1",100,1000
"314",0.877510040160643,0.123090745732255,"rmse","E_1",100,1000
"315",0.830645161290323,0.105074090704984,"rmse","E_1",100,1000
"316",0.892655367231638,0.125594025797692,"rmse","E_1",100,1000
"317",0.881632653061225,0.119506726457399,"rmse","E_1",100,1000
"318",0.851464435146444,0.0954830053667263,"rmse","E_1",100,1000
"319",0.813025210084034,0.0762181493071077,"rmse","E_1",100,1000
"320",0.816568047337278,0.0830519918973666,"rmse","E_1",100,1000
"321",0.850299401197605,0.119352663519892,"rmse","E_1",100,1000
"322",0.90625,0.153467561521253,"rmse","E_1",100,1000
"323",0.884765625,0.132266786840919,"rmse","E_1",100,1000
"324",0.88953488372093,0.142309427153811,"rmse","E_1",100,1000
"325",0.898785425101215,0.141606822262118,"rmse","E_1",100,1000
"326",0.894736842105263,0.119106145251397,"rmse","E_1",100,1000
"327",0.860169491525424,0.094015185350603,"rmse","E_1",100,1000
"328",0.831325301204819,0.084681042228212,"rmse","E_1",100,1000
"329",0.83739837398374,0.0953342305966801,"rmse","E_1",100,1000
"330",0.839248434237996,0.117199731603668,"rmse","E_1",100,1000
"331",0.871101871101871,0.0915193555605281,"rmse","E_1",100,1000
"332",0.89065606361829,0.12592759163481,"rmse","E_1",100,1000
"333",0.876,0.115280898876404,"rmse","E_1",100,1000
"334",0.851626016260163,0.110363391655451,"rmse","E_1",100,1000
"335",0.885311871227364,0.10958904109589,"rmse","E_1",100,1000
"336",0.853846153846154,0.105869074492099,"rmse","E_1",100,1000
"337",0.855983772819473,0.0958043527036123,"rmse","E_1",100,1000
"338",0.866666666666667,0.102132435465769,"rmse","E_1",100,1000
"339",0.868421052631579,0.107719928186715,"rmse","E_1",100,1000
"340",0.827956989247312,0.0940914158305463,"rmse","E_1",100,1000
"341",0.858627858627859,0.085925262922354,"rmse","E_1",100,1000
"342",0.831223628691983,0.098302055406613,"rmse","E_1",100,1000
"343",0.910041841004184,0.144230769230769,"rmse","E_1",100,1000
"344",0.878727634194831,0.14818979087025,"rmse","E_1",100,1000
