"","TPR","FPR","MCE","method","Estimated_E","p","n"
"836",1,0.201149425287356,0.184210526315789,"cv_min","E_2",20,10000
"837",1,0.284023668639053,0.252631578947368,"cv_min","E_2",20,10000
"838",1,0.252941176470588,0.226315789473684,"cv_min","E_2",20,10000
"839",1,0.241176470588235,0.215789473684211,"cv_min","E_2",20,10000
"840",1,0.162921348314607,0.152631578947368,"cv_min","E_2",20,10000
"841",1,0.171428571428571,0.157894736842105,"cv_min","E_2",20,10000
"842",1,0.228915662650602,0.2,"cv_min","E_2",20,10000
"843",1,0.319526627218935,0.284210526315789,"cv_min","E_2",20,10000
"844",1,0.225433526011561,0.205263157894737,"cv_min","E_2",20,10000
"845",1,0.188235294117647,0.168421052631579,"cv_min","E_2",20,10000
"846",1,0.190751445086705,0.173684210526316,"cv_min","E_2",20,10000
"847",1,0.251572327044025,0.210526315789474,"cv_min","E_2",20,10000
"848",1,0.230769230769231,0.205263157894737,"cv_min","E_2",20,10000
"849",1,0.335365853658537,0.289473684210526,"cv_min","E_2",20,10000
"850",1,0.179190751445087,0.163157894736842,"cv_min","E_2",20,10000
"851",1,0,0,"cv1se","E_2",20,10000
"852",0.85,0,0.0157894736842105,"cv1se","E_2",20,10000
"853",0.95,0,0.00526315789473684,"cv1se","E_2",20,10000
"854",0.823529411764706,0,0.0157894736842105,"cv1se","E_2",20,10000
"855",1,0,0,"cv1se","E_2",20,10000
"856",1,0,0,"cv1se","E_2",20,10000
"857",1,0,0,"cv1se","E_2",20,10000
"858",1,0,0,"cv1se","E_2",20,10000
"859",0.933333333333333,0,0.00526315789473684,"cv1se","E_2",20,10000
"860",1,0,0,"cv1se","E_2",20,10000
"861",1,0,0,"cv1se","E_2",20,10000
"862",0.894736842105263,0,0.0105263157894737,"cv1se","E_2",20,10000
"863",1,0,0,"cv1se","E_2",20,10000
"864",0.894736842105263,0,0.0105263157894737,"cv1se","E_2",20,10000
"865",0.888888888888889,0,0.0157894736842105,"cv1se","E_2",20,10000
"866",1,0,0,"cv1se","E_2",20,10000
"867",0.764705882352941,0,0.0210526315789474,"cv1se","E_2",20,10000
"868",0.923076923076923,0,0.00526315789473684,"cv1se","E_2",20,10000
"869",1,0,0,"cv1se","E_2",20,10000
"870",1,0,0,"cv1se","E_2",20,10000
"871",0.961538461538462,0,0.00526315789473684,"cv1se","E_2",20,10000
"872",0.933333333333333,0,0.00526315789473684,"cv1se","E_2",20,10000
"873",1,0,0,"cv1se","E_2",20,10000
"874",0.8,0,0.0263157894736842,"cv1se","E_2",20,10000
"875",0.823529411764706,0,0.0157894736842105,"cv1se","E_2",20,10000
"876",1,0,0,"cv1se","E_2",20,10000
"877",0.956521739130435,0,0.00526315789473684,"cv1se","E_2",20,10000
"878",0.8,0,0.0210526315789474,"cv1se","E_2",20,10000
"879",1,0,0,"cv1se","E_2",20,10000
"880",0.916666666666667,0,0.0105263157894737,"cv1se","E_2",20,10000
"881",1,0,0,"cv1se","E_2",20,10000
"882",0.85,0,0.0157894736842105,"cv1se","E_2",20,10000
"883",1,0,0,"cv1se","E_2",20,10000
"884",0.95,0,0.00526315789473684,"cv1se","E_2",20,10000
"885",0.857142857142857,0,0.0105263157894737,"cv1se","E_2",20,10000
"886",1,0,0,"cv1se","E_2",20,10000
"887",0.904761904761905,0,0.0105263157894737,"cv1se","E_2",20,10000
"888",1,0,0,"cv1se","E_2",20,10000
"889",1,0,0,"cv1se","E_2",20,10000
"890",1,0,0,"cv1se","E_2",20,10000
"891",0.933333333333333,0,0.00526315789473684,"cv1se","E_2",20,10000
"892",1,0,0,"cv1se","E_2",20,10000
"893",0.904761904761905,0,0.0105263157894737,"cv1se","E_2",20,10000
"894",0.882352941176471,0,0.0105263157894737,"cv1se","E_2",20,10000
"895",0.95,0,0.00526315789473684,"cv1se","E_2",20,10000
"896",0.941176470588235,0,0.00526315789473684,"cv1se","E_2",20,10000
"897",0.935483870967742,0,0.0105263157894737,"cv1se","E_2",20,10000
"898",0.761904761904762,0,0.0263157894736842,"cv1se","E_2",20,10000
"899",0.961538461538462,0,0.00526315789473684,"cv1se","E_2",20,10000
"900",0.941176470588235,0,0.00526315789473684,"cv1se","E_2",20,10000
"901",0.95,0.164705882352941,0.152631578947368,"rmse","E_1",20,1000
"902",0.739130434782609,0.143712574850299,0.157894736842105,"rmse","E_1",20,1000
"903",0.578947368421053,0.0116959064327485,0.0526315789473684,"rmse","E_1",20,1000
"904",0.888888888888889,0.165644171779141,0.157894736842105,"rmse","E_1",20,1000
